,LUCA,Aves,Passeriformes,Tyrannidae,cell_ids,Dist.to.road_m,Elevation_m,MaxTemp_m,MeanTemp_m,MinTemp_m,Population_m,Precipitation_m,SolarRadiation_m,VaporPres_m,WindSp_m,Longitude,Latitude,wwf_mhtnum,wwf_mhtnam,covid,name,cov_id,tipos,geometry
3865,1.0,1.0,1.0,1.0,247411,1082.8427002,13.8888888889,30.3099536454,25.5534721392,20.7990741465,32.1159032716,149.289351852,16351.2777778,2.58432872869,3.73240739438,-95.544563416,18.674389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,40301,PASTIZAL CULTIVADO,10015.0,Pastizal Cultivado,POINT (-95.544563416 18.674389801)
3866,1.0,1.0,1.0,0.0,244620,8600.19757813,2665.66666667,20.6319444996,13.2398148025,5.84861112193,174.792343881,75.9837962963,17885.5694444,0.950995370332,2.36736111233,-98.533563416,19.213389801,3.0,Tropical and Subtropical Coniferous Forests,82387,AGRICULTURA DE TEMPORAL ANUAL Y PERMANENTE,8684.0,Agricultura de Temporal,POINT (-98.53356341600001 19.213389801)
3867,1.0,0.0,0.0,0.0,242647,1799.08728027,2525.0,22.6261574207,14.0687500636,5.51574070862,148.450003094,53.9606481481,18294.7268519,0.992291673052,2.29328702335,-98.533563416,19.605389801,3.0,Tropical and Subtropical Coniferous Forests,71911,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-98.53356341600001 19.605389801)
3868,1.0,1.0,1.0,0.0,250047,4107.26189941,10.5,31.2784721675,26.0914351719,20.9013889542,25.4237637255,127.840277778,16099.3703704,2.5277545844,2.58356481349,-95.691563416,18.233389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,83163,AGRICULTURA DE TEMPORAL ANUAL Y SEMIPERMANENTE,8684.0,Agricultura de Temporal,POINT (-95.69156341599999 18.233389801)
3869,1.0,0.0,0.0,0.0,242161,4191.66507324,2815.66666667,17.0731481623,11.0687499996,5.06388889474,28.5416579247,73.9328703704,17688.6550926,0.872546292014,2.56226851764,-98.190563416,19.703389801,3.0,Tropical and Subtropical Coniferous Forests,7010,BOSQUE DE PINO,9416.0,Bosque de Pino,POINT (-98.190563416 19.703389801)
3870,0.0,0.0,0.0,0.0,246639,1082.8427002,11.0,29.794444455,25.3055555026,20.8166666031,37.5928351084,131.055555556,16547.6944444,2.57333334949,3.78333332804,-95.8009177449,18.801599744,14.0,Mangroves,117359,VEGETACIÓN DE DUNAS COSTERAS,10434.0,Vegetacion de Dunas Costeras,POINT (-95.8009177449 18.801599744)
3871,1.0,1.0,1.0,1.0,241904,1389.20466797,2421.11111111,23.731944418,15.0369444662,6.33999999099,73.617831103,38.7861111111,18534.3277778,1.03216666496,2.27361110184,-98.729563416,19.752389801,13.0,Deserts and Xeric Shrublands,71911,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-98.729563416 19.752389801)
3872,0.0,0.0,0.0,0.0,240948,5211.5543457,325.0,27.6516666465,22.8772221936,18.1013889101,63.6717355092,155.266666667,16801.5944444,2.28994444609,1.8719444255,-97.112563416,19.948389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,41782,PASTIZAL CULTIVADO,8875.0,Pastizal Cultivado,POINT (-97.112563416 19.948389801)
3873,1.0,0.0,0.0,0.0,247617,1910.7131543,1040.22222222,32.1483795599,24.2916666843,16.4349537403,88.8513420953,74.0856481481,18196.4513889,1.76655091125,1.49953702203,-99.023563416,18.625389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,107923,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA CADUCIFOLIA,10463.0,Agricultura de Riego,POINT (-99.023563416 18.625389801)
3874,1.0,1.0,0.0,0.0,248234,656.568540039,176.333333333,30.8313888497,25.0794444879,19.3252776967,73.8431406021,226.394444444,16226.5888889,2.36644446154,1.90916665561,-96.720563416,18.527389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,85366,AGRICULTURA DE TEMPORAL SEMIPERMANENTE Y PERMANENTE,10717.0,Selva Alta Perennifolia,POINT (-96.720563416 18.527389801)
